Date;Magnitude (group);Magnitude (group) 1;Place;Type;Year;Depth;F1;Latitude;Longitude;Magnitude
6.07.2003;Moderate;Moderate;Edirne;Mw;2003;15;114;40,445;26,074;5,7
17.04.2003;Moderate;Moderate;Izmir;Mw;2003;15;115;38,181;26,959;5,2
1.05.2003;Strong;Strong;Bingol;Mw;2003;10;116;39,01;40,46;6,3
13.07.2003;Moderate;Moderate;Malatya;Mw;2003;10;117;38,3222;39,0356;5,5
3.02.2002;Moderate;Moderate;Balikesir;Mw;2002;11;118;38,667;30,919;5,8
3.02.2002;Moderate;Moderate;Balikesir;mb;2002;35;119;38,721;30,886;5,1
3.02.2002;Moderate;Moderate;Balikesir;Mw;2002;31;120;38,562;31,083;5,3
3.02.2002;Strong;Strong;Erzurum;Mw;2002;5;121;38,527;31,221;6,5
10.07.2001;Moderate;Moderate;Erzurum;Mw;2001;35;122;39,818;41,629;5,4
25.06.2001;Moderate;Moderate;Osmaniye;Mw;2001;13,6;123;37,182;36,213;5,4
31.10.2001;Moderate;Moderate;Osmaniye;mb;2001;41,8;124;37,177;36,131;5,2
15.12.2000;Strong;Strong;Erzurum;Mw;2000;5;125;38,6081;31,1972;6
6.06.2000;Strong;Strong;Cankiri;Mw;2000;7;126;40,734;33,005;6
23.08.2000;Moderate;Moderate;Sakarya;Mw;2000;15,3;127;40,787;30,781;5,3
21.04.2000;Moderate;Moderate;Denizli;Mw;2000;29,2;128;37,856;29,356;5,4
15.11.2000;Moderate;Moderate;Van;Mw;2000;55,5;129;38,4509;42,904;5,5
12.11.1999;Moderate;Moderate;Bolu;mb;1999;6;130;40,723;31,516;5
5.10.1999;Moderate;Moderate;Mugla;Mw;1999;19;131;36,739;28,226;5,2
12.11.1999;Major;Major;Duzce;Mw;1999;11;132;40,806;31,226;7,1
11.11.1999;Moderate;Moderate;Kocaeli;Mw;1999;17,9;133;40,7425;30,2422;5,6
17.08.1999;Major;Major;Kocaeli;Mw;1999;15;134;40,77;30,004;7,6
16.11.1999;Moderate;Moderate;Bolu;mb;1999;10;135;40,738;31,62;5
12.11.1999;Moderate;Moderate;Duzce;mb;1999;8,4;136;40,78;31,139;5,2
6.04.1999;Moderate;Moderate;Sivas;Mw;1999;15,7;137;39,368;38,231;5,4
17.08.1999;Moderate;Moderate;Kocaeli;mb;1999;10;138;40,711;29,911;5
29.09.1999;Moderate;Moderate;Yalova;Mw;1999;7,9;139;40,734;29,354;5,2
25.07.1999;Moderate;Moderate;Balikesir;Mw;1999;21,2;140;39,321;27,984;5,2
19.08.1999;Moderate;Moderate;Yalova;Mw;1999;14;141;40,571;29,205;5,1
13.09.1999;Moderate;Moderate;Kocaeli;Mw;1999;17,8;142;40,7327;30,0169;5,8
3.12.1999;Moderate;Moderate;Erzurum;Mw;1999;10;143;40,5477;42,3559;5,7
31.08.1999;Moderate;Moderate;Kocaeli;Mw;1999;20;144;40,7064;29,8943;5,1
4.07.1998;Moderate;Moderate;Adana;Mw;1998;37,3;145;36,846;35,238;5,4
27.06.1998;Strong;Strong;Adana;Mw;1998;10;146;36,9358;35,3664;6,2
4.04.1998;Moderate;Moderate;Balikesir;Mw;1998;25,3;147;38,101;30,171;5,2
9.05.1998;Moderate;Moderate;Malatya;Mw;1998;17,2;148;38,254;38,947;5,1
13.04.1998;Moderate;Moderate;Bingol;Mw;1998;15;149;39,315;41,123;5,2
9.03.1998;Moderate;Moderate;Balikesir;Mw;1998;60,3;150;35,983;28,41;5,1
21.01.1997;Moderate;Moderate;Denizli;Mw;1997;17,2;151;38,106;29,008;5,2
